Frente	Verso	Tema	Fonte
O que é lista aberta no A*?	Nós descobertos ainda não expandidos, priorizados por f	Busca informada	Aula 06, p. 2–23
O que é lista fechada no A*?	Estados já expandidos	Busca informada	Aula 06, p. 2–23
Se h*=10, qual valor viola admissibilidade nesse estado?	14	Busca informada	Aula 06, p. 2–23
Se h*=10 e h=7, a condição de admissibilidade vale nesse estado. V ou F?	Verdadeiro	Busca informada	Aula 06, p. 2–23
Com h(n)=7, c=3 e h(n′)=4, a consistência vale nessa aresta?	Sim, pois 7≤3+4	Busca informada	Aula 06, p. 2–23
Com h(n)=8, c=3 e h(n′)=4, a consistência vale nessa aresta?	Não, pois 8>3+4	Busca informada	Aula 06, p. 2–23
Toda heurística consistente é admissível nas condições usuais com h(objetivo)=0. V ou F?	Verdadeiro	Busca informada	Aula 06, p. 2–23
Se h(n)=0 para todo n, A* equivale a qual busca?	Busca de Custo Uniforme	Busca informada	Aula 06, p. 2–23
Uma heurística que superestima sempre mantém a garantia de ótimo do A*. V ou F?	Falso	Busca informada	Aula 06, p. 2–23
Qual pior caso de tempo é apresentado para Gulosa na aula?	O(b^m)	Busca informada	Aula 06, p. 2–23
Qual pior caso de tempo é apresentado para A* na aula?	O(b^d)	Busca informada	Aula 06, p. 2–23
Na grade original da professora, S=(0,0), G=(4,4). Qual h(S) Manhattan?	8	Busca informada	Aula 06, p. 2–23
Mapa S..#./##.#./...../.###./....G, quatro movimentos de custo 1: qual custo ótimo?	8	Busca informada	Aula 06, p. 2–23
No mapa S..#./##.#./...../.###./....G, bloquear também (2,3) faz o custo ótimo ser quanto?	12	Busca informada	Aula 06, p. 2–23
Associe g, h e f às três perguntas de A*.	g: quanto gastei; h: quanto falta estimado; f: total estimado.	Busca informada	Aula 06, p. 2–23
Heurística para 8 peças no slide?	Número de peças fora do lugar.	Busca informada	Aula 06
Heurística para rotas?	Distância em linha reta.	Busca informada	Aula 06
h no objetivo, na convenção usual?	Zero.	Busca informada	Aula 06
Euclidiana entre (1,1) e (1,6)?	5.	Busca informada	Aula 06
Manhattan entre posições iguais?	0.	Busca informada	Aula 06
Se g=8 e h=4, f=?	12.	Busca informada	Aula 06
Se h supera h*, qual propriedade falha?	Admissibilidade.	Busca informada	Aula 06
Consistência precisa valer onde?	Em toda transição.	Busca informada	Aula 06
A* pode gastar muita memória?	Sim, guarda estados descobertos.	Busca informada	Aula 06
Heurística de planejamento citada?	Tempo restante estimado.	Busca informada	Aula 06
38,5 sem contexto corresponde a quê no exemplo da aula?	Dado	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Temperatura = 38,5 °C corresponde a quê?	Informação	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Temperatura acima de 38 °C pode indicar febre é exemplo de quê?	Conhecimento	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Carlos tem nota 4,5; se nota<6, então abaixo da média. Concluir que Carlos está abaixo da média é o quê?	Inferência	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Quais componentes a base de conhecimento armazena?	Fatos, regras, relações, conceitos e propriedades.	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Manaus está localizada no Amazonas é conhecimento de qual tipo?	Declarativo	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Somar notas e dividir pela quantidade descreve conhecimento de qual tipo?	Procedural	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Em idade(João,25), identifique entidade, propriedade e valor.	Entidade João; propriedade idade; valor 25.	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Humano(Sócrates) e ∀x(Humano(x)→Mortal(x)) permitem concluir o quê?	Mortal(Sócrates)	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Aluno(Maria) é um exemplo de quê?	Predicado de propriedade	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Pai(José,Carlos) equivale a Pai(Carlos,José). V ou F?	Falso	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Qual estrutura caracteriza uma regra de produção?	SE condição ENTÃO conclusão ou ação	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Qual é a função do motor de inferência?	Aplicar regras aos fatos para gerar conclusões.	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Para que serve a memória de trabalho?	Guardar fatos do caso e resultados intermediários.	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Fato A e regras A→B, B→C, C→D. Qual sequência forward?	A→B→C→D	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Para provar D com A→B, B→C, C→D e fato A, qual é a sequência de submetas backward?	D, C, B, A	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Associe Forward e Backward ao ponto de partida.	Forward: fatos; Backward: hipótese/meta.	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Rex é cachorro; cachorro é animal. Qual inferência?	Rex é animal	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Em rede semântica, o que representam nós e ligações?	Nós: conceitos/entidades; ligações: relações.	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Uma ficha Aluno com nome, idade, curso e período exemplifica qual técnica?	Frame	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Frame: Liga=SIM e Exibe_Imagem=NÃO. Pela regra da aula, qual possível problema?	Memória RAM ou vídeo	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Conecta_Internet=NÃO INFORMADO é igual a Conecta_Internet=NÃO. V ou F?	Falso	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
O que uma ontologia define?	Conceitos, categorias, propriedades, relações e restrições do domínio.	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Notebook é Computador; Computador é Eletrônico. Isso contribui para qual recurso de uma ontologia?	Hierarquia de conceitos	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Escreva uma tripla de conhecimento sobre Rafael e Interestelar.	Rafael → gostou → Interestelar	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Por que A Origem pode ser recomendado após Interestelar no exemplo?	Compartilha diretor e gênero no grafo.	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Qual descrição corresponde à IA simbólica?	Conhecimento em símbolos e regras explícitas	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Qual descrição corresponde às redes neurais?	Aprendem representações numéricas a partir dos dados	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Qual é a negação de ∀x P(x)?	∃x ¬P(x)	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Regra nota≥6 E frequência≥75% → APROVADO. João(7,80%), Maria(5,90%), Pedro(8,60%): quem satisfaz a regra?	João	Representação do conhecimento	Aula 03, p. 2–44; Aula 04, p. 6–39
Negação de ∃x P(x)?	∀x ¬P(x).	Representação do conhecimento	Aulas 03 e 04
João em Aluno(João) é quê?	Constante.	Representação do conhecimento	Aulas 03 e 04
x em Aluno(x) é quê?	Variável.	Representação do conhecimento	Aulas 03 e 04
∀ significa?	Para todo.	Representação do conhecimento	Aulas 03 e 04
∃ significa?	Existe pelo menos um.	Representação do conhecimento	Aulas 03 e 04
P→Q equivale a quê?	¬P∨Q.	Representação do conhecimento	Aulas 03 e 04
Negação de P∧Q?	¬P∨¬Q.	Representação do conhecimento	Aulas 03 e 04
Representação de todo aluno estuda?	∀x(Aluno(x)→Estuda(x)).	Representação do conhecimento	Aulas 03 e 04
Representação de algum aluno estuda?	∃x(Aluno(x)∧Estuda(x)).	Representação do conhecimento	Aulas 03 e 04
Neuro-simbólica combina o quê?	Redes neurais e IA simbólica.	Representação do conhecimento	Aulas 03 e 04
